Symbol,reportedDate,Grade
MMM,2023-04-25,3
MMM,2023-01-24,1
MMM,2022-10-25,4
MMM,2022-07-26,3
MMM,2022-04-26,5
MMM,2022-01-25,3
MMM,2021-10-26,3
MMM,2021-07-27,2
MMM,2021-04-27,4
MMM,2021-01-26,3
MMM,2020-10-27,4
MMM,2020-07-28,2
MMM,2020-04-28,4
MMM,2020-01-28,2
MMM,2019-10-24,4
MMM,2019-07-25,4
MMM,2019-04-25,2
MMM,2019-01-29,3
MMM,2018-10-23,1
MMM,2018-07-24,4
MMM,2018-04-24,4
MMM,2018-01-25,3
MMM,2017-10-24,3
MMM,2017-07-25,2
MMM,2017-04-25,5
MMM,2017-01-24,3
MMM,2016-10-25,4
MMM,2016-07-26,4
MMM,2016-04-26,5
MMM,2016-01-26,3
MMM,2015-10-22,3
MMM,2015-07-23,3
MMM,2015-04-23,5
MMM,2015-01-27,3
MMM,2014-10-23,3
MMM,2014-07-24,3
MMM,2014-04-24,4
MMM,2014-01-30,2
MMM,2013-10-24,3
MMM,2013-07-25,4
MMM,2013-04-25,4
MMM,2013-01-24,2
MMM,2012-10-23,1
MMM,2012-07-26,3
MMM,2012-04-24,5
MMM,2012-01-26,3
MMM,2011-10-25,1
MMM,2011-07-26,3
MMM,2011-04-26,5
MMM,2011-01-25,3
MMM,2010-10-28,2
MMM,2010-07-22,5
MMM,2010-04-27,5
MMM,2010-01-28,2
MMM,2009-10-22,4
MMM,2009-07-23,5
MMM,2009-04-24,3
MMM,2009-01-29,2
MMM,2008-10-21,4
MMM,2008-07-24,4
MMM,2008-04-24,4
MMM,2008-01-29,3
MMM,2007-10-19,4
MMM,2007-07-26,3
MMM,2007-04-26,5
MMM,2007-01-30,1
MMM,2006-10-20,5
MMM,2006-07-25,2
MMM,2006-04-21,4
MMM,2006-01-24,3
MMM,2005-10-18,3
MMM,2005-07-18,2
MMM,2005-04-18,5
MMM,2005-01-18,2
MMM,2004-10-18,1
MMM,2004-07-19,4
MMM,2004-04-19,5
MMM,2004-01-20,3
MMM,2003-10-20,3
MMM,2003-07-21,5
MMM,2003-04-21,5
MMM,2003-01-21,3
MMM,2002-10-21,2
MMM,2002-07-22,4
MMM,2002-04-22,5
MMM,2002-01-18,2
MMM,2001-10-22,2
MMM,2001-07-23,1
MMM,2001-04-23,3
MMM,2001-01-24,1
MMM,2000-10-23,4
MMM,2000-07-26,5
MMM,2000-04-25,5
MMM,2000-01-26,3
MMM,1999-10-25,4
MMM,1999-07-29,4
MMM,1999-04-30,5
MMM,1999-01-25,3
MMM,1998-10-22,3
MMM,1998-07-23,3
MMM,1998-04-28,3
MMM,1998-01-27,2
MMM,1997-10-22,4
MMM,1997-07-23,3
MMM,1997-04-22,5
MMM,1997-01-28,3
MMM,1996-10-25,3
MMM,1996-07-29,5
MMM,1996-05-02,0
AOS,2023-04-27,3
AOS,2023-01-31,4
AOS,2022-10-27,2
AOS,2022-07-28,4
AOS,2022-04-28,3
AOS,2022-01-27,4
AOS,2021-10-28,4
AOS,2021-07-29,5
AOS,2021-04-29,3
AOS,2021-01-28,3
AOS,2020-10-29,5
AOS,2020-07-30,5
AOS,2020-05-05,2
AOS,2020-01-28,3
AOS,2019-10-29,2
AOS,2019-07-30,3
AOS,2019-04-30,2
AOS,2019-01-29,4
AOS,2018-10-30,2
AOS,2018-07-25,5
AOS,2018-04-25,3
AOS,2018-01-30,5
AOS,2017-10-25,4
AOS,2017-07-26,2
AOS,2017-04-27,5
AOS,2017-02-02,4
AOS,2016-10-26,3
AOS,2016-07-26,4
AOS,2016-04-27,3
AOS,2016-01-29,4
AOS,2015-10-21,4
AOS,2015-07-23,5
AOS,2015-04-24,4
AOS,2015-01-27,5
AOS,2014-10-21,3
AOS,2014-07-22,4
AOS,2014-04-22,5
AOS,2014-01-28,1
AOS,2013-10-21,4
AOS,2013-07-24,5
AOS,2013-04-23,4
AOS,2013-01-24,4
AOS,2012-10-17,3
