,0
Garmin,73.71508379888269
Apple,73.06111111111112
F5,72.49162011173185
Amazon,72.12222222222222
Starbucks,72.01117318435755
Intel,70.35754189944134
Nike,70.11173184357541
Netflix,68.93854748603351
AMD,68.35555555555555
McDonald's,65.47486033519553
Honeywell,63.865921787709496
3M,63.294444444444444
Etsy,62.15642458100559
Nvidia,61.30167597765363
John Deere,59.87709497206704
Microsoft,58.977653631284916
Mastercard,58.77653631284916
PTC,57.58659217877095
eBay,57.01675977653631
ResMed,56.25139664804469
MetLife,55.79329608938548
Rollins,55.76536312849162
FIS,55.659217877094974
PayPal,55.62011173184357
Walmart,55.29050279329609
Tesla,55.14525139664804
Qualcomm,53.77653631284916
Humana,53.212290502793294
Lowe's,53.07821229050279
Kroger,52.93296089385475
American Express,52.4
Hartford,51.754189944134076
Disney,50.53631284916201
Costco,49.78212290502793
Verizon,49.29608938547486
Copart,49.083333333333336
Wells Fargo,48.614525139664806
Domino's,48.435754189944134
Goldman Sachs,48.16201117318436
Truist,46.36871508379888
Johnson & Johnson,45.57541899441341
Iron Mountain,45.391061452513966
Equifax,44.98324022346369
Tractor Supply,44.44134078212291
Home Depot (The),44.3463687150838
Western Digital,43.47486033519553
Adobe,43.44444444444444
Best Buy,42.86666666666667
Bank of America,42.672222222222224
Ulta Beauty,42.4804469273743
Carnival,41.50555555555555
Dexcom,41.452513966480446
Capital One,41.34444444444444
General Electric,41.039106145251395
M&T Bank,40.96648044692738
FedEx,40.815642458100555
Old Dominion,40.659217877094974
Public Storage,40.357541899441344
Xylem,40.100558659217874
Generac,39.45810055865922
Sherwin-Williams,38.37988826815643
Northrop Grumman,38.1731843575419
Morgan Stanley,38.13966480446928
DuPont,37.70391061452514
Sysco,37.340782122905026
AutoZone,36.4
Assurant,36.016666666666666
Fortinet,35.78212290502793
Hershey's,35.770949720670394
Salesforce,35.659217877094974
Xcel Energy,35.245810055865924
IBM,35.16201117318436
Paccar,34.47486033519553
Entergy,34.29050279329609
Quest Diagnostics,34.100558659217874
Aflac,33.53333333333333
Amgen,33.43888888888889
Lennar,33.0
ServiceNow,32.67039106145251
Eversource,32.41899441340782
Enphase,31.41340782122905
Zoetis,31.335195530726256
Ceridian,30.894444444444446
Brown & Brown,30.716666666666665
Comcast,30.66111111111111
Boeing,30.55
Broadcom,30.377777777777776
Phillips 66,30.1731843575419
Invesco,29.189944134078214
Cisco,29.122222222222224
Berkley,29.066666666666666
Paychex,28.726256983240223
Republic Services,28.614525139664803
Kellogg's,28.553072625698324
Intuit,27.899441340782122
Kraft Heinz,27.877094972067038
Viatris,27.804469273743017
CenterPoint Energy,27.216666666666665
Cummins,26.41340782122905
General Motors,26.335195530726256
Abbott,25.761111111111113
Cigna,25.461111111111112
Molina Healthcare,25.089385474860336
United Rentals,24.156424581005588
Procter & Gamble,24.050279329608937
Keysight,23.804469273743017
Paycom,23.743016759776538
Clorox,22.705555555555556
Cognizant,22.13888888888889
Evergy,22.089385474860336
Steris,21.71508379888268
Henry Schein,21.24022346368715
Berkshire Hathaway,20.92222222222222
Amphenol,20.194444444444443
